participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
ajcxvpki,2,5,b4tkoftt,2-FHM-4,Mitarbeiter,Hallo! Ich wäre dafür die 10 Überstunden anzugeben. Du?,1589537364.05075
ajcxvpki,2,6,ifig0vld,2-FHM-4,Mitarbeiter,"Hi! Ja, ich auch. Also nicht lügen ",1589537376.08718
ajcxvpki,2,5,b4tkoftt,2-FHM-4,Mitarbeiter,Super duper,1589537381.46655
ajcxvpki,2,5,b4tkoftt,2-FHM-4,Mitarbeiter,dann können wir ja auch aufhören :),1589537394.28566
ajcxvpki,2,5,b4tkoftt,2-FHM-4,Mitarbeiter,tschüüß,1589537397.28166
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,Hallo,1589537529.07037
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,Hallo,1589537536.10421
ajcxvpki,2,11,mjbrj6gi,2-FHM-7,Mitarbeiter,"Hi, sollen wir 50 angeben oder willst du auf Nummer sicher gehen?",1589537537.16091
ajcxvpki,2,12,0qqstc3k,2-FHM-7,Mitarbeiter,Ja lass uns 50 angeben,1589537549.85923
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,"Mir wurde angezeigt, dass wir 10 Überstunden haben",1589537560.10643
ajcxvpki,2,12,0qqstc3k,2-FHM-7,Mitarbeiter,Oder magst du auf Nummer sicher gehen?,1589537560.81328
ajcxvpki,2,14,746n06ns,2-FHM-8,Mitarbeiter,Hallo,1589537560.86237
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,Hallo?,1589537564.67448
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Hallo,1589537568.07778
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,"Richtig, mir auch",1589537568.77109
ajcxvpki,2,11,mjbrj6gi,2-FHM-7,Mitarbeiter,ok oder 60 darf man maximal ne? dann können wir auch direkt 60 angeben,1589537575.63608
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,wenn man jetzt mehr angibt als 10 Überstunden,1589537578.73509
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Wie viele Überstunden hast du gemacht?,1589537585.71847
ajcxvpki,2,10,2y6l7cvt,2-FHM-6,Mitarbeiter,Sollen wir einfach 10 angeben? ,1589537588.8229
ajcxvpki,2,13,wgmqn1k9,2-FHM-8,Mitarbeiter,hi,1589537592.49891
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,"und beide das Gleiche angeben, wird man nicht zwingend kontrolliert richtig?",1589537596.76383
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,Ich habe 10 Überstunden gemacht.,1589537597.02281
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Ich auch.,1589537600.59132
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Sollen wir 10 Stunden angeben?,1589537607.65279
ajcxvpki,2,9,v0bh5t0j,2-FHM-6,Mitarbeiter,ja zur sicherheit wohl besser,1589537611.86396
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,"Genau, nur wenn wir zufällig ausgewählt werden",1589537612.19428
ajcxvpki,2,12,0qqstc3k,2-FHM-7,Mitarbeiter,"Ja genau, dann 60",1589537618.38559
ajcxvpki,2,14,746n06ns,2-FHM-8,Mitarbeiter,wie viele Überstunden möchtest du angeben?,1589537620.17095
ajcxvpki,2,13,wgmqn1k9,2-FHM-8,Mitarbeiter,ich würd einfach 10 eingeben oder?,1589537620.20998
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,was geben wir an ?,1589537621.99031
ajcxvpki,2,14,746n06ns,2-FHM-8,Mitarbeiter,ja klingt gut,1589537625.12787
ajcxvpki,2,10,2y6l7cvt,2-FHM-6,Mitarbeiter,okay dann machen wir das ,1589537625.17291
ajcxvpki,2,11,mjbrj6gi,2-FHM-7,Mitarbeiter,"ok alles klar, dann los :)",1589537627.20847
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,"Die Chance, dass wir überprüft werden ist je relativ klein...",1589537629.08181
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,die 10 Überstunden oder mehr?,1589537633.35887
ajcxvpki,2,13,wgmqn1k9,2-FHM-8,Mitarbeiter,alles klar,1589537633.48053
ajcxvpki,2,14,746n06ns,2-FHM-8,Mitarbeiter,ok,1589537636.86622
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,2:5,1589537638.5942
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,Solle wir unser Glück versuchen und mehr angeben?,1589537643.59728
ajcxvpki,2,13,wgmqn1k9,2-FHM-8,Mitarbeiter,dann beende ich den chat,1589537646.58079
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Wie viele?,1589537649.04754
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,20?,1589537652.35846
ajcxvpki,2,9,v0bh5t0j,2-FHM-6,Mitarbeiter,ok,1589537668.88271
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,"Man darf ja max 60 machen, also pro Person 30",1589537670.36237
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,"Man muss ja noch bedenken, dass wir sonst strafe zahlen müssen",1589537672.73928
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,Sollen wir 30 sagen?,1589537676.52181
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,Nur wenn du willst,1589537680.39087
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Ja dann 30,1589537684.65629
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,nur wenn wir kontrolliert werden oder?,1589537689.14413
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,okk,1589537689.98824
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,jaa,1589537695.09596
ajcxvpki,2,7,u6rcx9p8,2-FHM-5,Mitarbeiter,Dann beende ich den Chat jetzt,1589537702.64061
ajcxvpki,2,8,t5q3kdvg,2-FHM-5,Mitarbeiter,ok,1589537707.12694
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,Das ist eine schwierige entscheidung,1589537708.85312
ajcxvpki,2,9,v0bh5t0j,2-FHM-6,Mitarbeiter,dann geh ich schonmal aus dem chat hier raus,1589537712.5901
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,ich würde aber nicht viel höher gehen,1589537715.51949
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,als 10,1589537717.97259
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,wegen mir müssen wir auch gar nicht höher gehen oder vielleicht 15 ?,1589537736.33117
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,"Ja, 15 ist gut",1589537759.89681
ajcxvpki,2,4,yykzm36r,2-FHM-3,Mitarbeiter,ok,1589537763.71622
ajcxvpki,2,3,e1y483pm,2-FHM-3,Mitarbeiter,sehr gut,1589537768.87099
ajcxvpki,2,1,bhlpdi2n,2-FHM-2,Mitarbeiter,"Was würdest du tun wollen? Ich würde mich deiner Meinung vermutlich anschließen. Entweder dass wir beide gleich lügen (aber vllt nicht zu riskant hoch? Sprich 30 anstelle von 10 angeben? Dann hätten wir bei Überprüfung noch 30 übrig, sonst sogar 70) oder aber einfach die 10 angeben und mit 50 nach Hause gehen?",1589538040.259
ajcxvpki,2,2,bt361d4o,2-FHM-2,Mitarbeiter,Ja wir lügen beide und sagen 30,1589538085.93218
ajcxvpki,2,1,bhlpdi2n,2-FHM-2,Mitarbeiter,"ok, deal",1589538105.90709
ajcxvpki,2,2,bt361d4o,2-FHM-2,Mitarbeiter,gut,1589538110.15324
