participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.absent_player,player.control_correct,player.same_hours,player.to_audit_player,player.audited_both,player.hours_stated,player.contr_partner_0,player.contr_prob_0,player.contr_fix_0,player.contr_var_0,player.contr_fine_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_partner,player.contr_prob,player.contr_fix,player.contr_var,player.contr_fine,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.fine,player.lab_points,player.points_euro,player.ctr_euro,player.belief,player.age,player.gender,player.study,player.study_level,player.econ,player.moral_freude,player.moral_aerger,player.moral_angst,player.moral_scham,player.moral_schuld,player.risk,player.lie,player.complex,player.pol,player.income,player.pray,player.lab_exp,player.exp_demand_q,player.exp_demand_open,player.exp_demand_chat,player.exp_demand_chat_open,player.feedback,player.payoff,group.id_in_subsession,group.all_groups,group.audit_groups,group.to_audit,group.absent_group,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,bhlpdi2n,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.205040+00:00,1,,,10,1,0,1,1,0,,30,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,70,7,1,80,26,1,6,5,2,3,6,1,1,1,6,4,2,3,1200,1,5,2,,2,,,10,1,7,2,0,0,1,ajcxvpki,,,,,,0
2,bt361d4o,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.160382+00:00,1,,,9,2,0,0,1,0,,30,2,1,1,1,2,20,20,10,10,2,1,1,1,2,0,0,0,0,0,70,7,0,90,20,2,8,1,2,9,2,1,1,1,1,8,5,2,600,1,3,2,,2,,,9,1,7,2,0,0,1,ajcxvpki,,,,,,0
3,e1y483pm,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.260485+00:00,1,,,8.5,1,0,1,1,0,,15,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,55,5.5,1,60,19,2,2,4,2,8,3,3,2,3,6,3,4,3,200,1,3,1,Lügen zum eigenen Vorteil,2,,,8.5,2,7,2,0,0,1,ajcxvpki,,,,,,0
4,yykzm36r,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.367635+00:00,1,,,8.5,2,0,1,1,0,,15,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,55,5.5,1,80,25,2,2,4,1,8,1,1,1,1,7,4,5,5,150,1,5,2,,2,,,8.5,2,7,2,0,0,1,ajcxvpki,,,,,,0
5,b4tkoftt,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.346672+00:00,1,,,8,1,0,1,1,0,,10,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,50,5,1,40,25,1,5,2,1,8,1,1,1,1,7,3,3,2,400,1,4,1,Im Prinzip wohl wie immer : Irgendwas mit Kooperation auf Basis spieltheoretischer Überlegungen,2,,,8,3,7,2,0,0,1,ajcxvpki,,,,,,0
6,ifig0vld,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.402872+00:00,1,,,7,2,0,0,1,0,,10,2,1,1,1,2,60,60,70,60,2,1,1,1,2,60,60,70,50,0,50,5,0,30,25,2,3,2,1,6,5,4,5,5,6,8,3,3,200,1,5,2,,2,,,7,3,7,2,0,0,1,ajcxvpki,,,,,,0
7,u6rcx9p8,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.673751+00:00,1,,,6,1,0,1,1,1,1,30,2,1,1,1,2,60,60,70,50,,,,,,,,,,20,30,3,1,80,21,1,2,1,1,8,3,5,3,3,2,8,4,6,300,1,2,2,,2,,,6,4,7,2,1,0,1,ajcxvpki,,,,,,0
8,t5q3kdvg,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.692319+00:00,1,,,5,2,0,0,1,1,1,30,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,20,30,3,0,70,20,2,8,1,2,3,8,1,2,1,2,2,5,5,350,1,3,2,,2,,,5,4,7,2,1,0,1,ajcxvpki,,,,,,0
9,v0bh5t0j,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:56.811178+00:00,1,,,7,1,0,0,1,1,1,10,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,0,50,5,0,40,26,2,8,2,2,2,10,5,1,1,6,3,3,3,,1,4,2,,2,,,7,5,7,2,1,0,1,ajcxvpki,,,,,,0
10,2y6l7cvt,0,18,20,hausladen_FHM,outro,2020-05-15 10:01:57.008080+00:00,1,,,7,2,0,0,1,1,1,10,1,1,1,1,2,60,60,70,50,2,1,1,1,2,60,60,70,50,0,50,5,0,30,22,2,5,1,2,8,1,3,2,1,2,1,1,5,600,1,5,1,Unter welchem Risiko die Menschen bereit sind zu ihrem eigenen Vorteil zu lügen.,2,,,7,5,7,2,1,0,1,ajcxvpki,,,,,,0
