participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
imtk03cc,1,1,duyq0nad,1-stage_1-1,Mitarbeiter,asdfasdfsa,1575382346.267329
imtk03cc,1,2,1m95wioy,1-stage_1-1,Mitarbeiter,asdfasdfa,1575382349.337207
hw5e2t9f,2,1,x7pbkogd,2-stage_1-2,Mitarbeiter,ddddd,1575385049.6392782
hw5e2t9f,2,2,1coutvrk,2-stage_1-2,Mitarbeiter,sssss,1575385051.871882
bktdfcz8,3,1,40pbnxb4,3-stage_1-3,Mitarbeiter,eeeeee,1575442289.2443242
bktdfcz8,3,2,iyq1oi51,3-stage_1-3,Mitarbeiter,wwwww,1575442293.456266
lbztos2d,4,1,xtwqov3k,4-stage_1-4,Mitarbeiter,ddddd,1575447412.865419
lbztos2d,4,2,uyvfnszh,4-stage_1-4,Mitarbeiter,eeeee,1575447416.606463
30j0dq11,5,1,t3u467sz,5-stage_1-5,Mitarbeiter,ddddd,1575447632.84856
30j0dq11,5,2,sjq3tx4h,5-stage_1-5,Mitarbeiter,wwwww,1575447637.036043
o1kgr0nc,6,1,dm0dvi1w,6-stage_1-6,Mitarbeiter,ddddd,1575455532.295601
o1kgr0nc,6,2,9bex9uj2,6-stage_1-6,Mitarbeiter,ssss,1575455535.630163
6dumca9i,7,1,6dtv9hz3,7-stage_1-7,Mitarbeiter,ssss,1575455963.823942
6dumca9i,7,2,9gnswr1q,7-stage_1-7,Mitarbeiter,dffffdsf,1575455967.2268941
97ppr0iu,8,1,m30nvx49,8-stage_1-8,Mitarbeiter,ssss,1575456452.9842129
97ppr0iu,8,2,p164hiqw,8-stage_1-8,Mitarbeiter,dddd,1575456455.947329
5a8nass3,9,1,lxeu8ves,9-stage_1-9,Mitarbeiter,sssss,1575456514.218949
5a8nass3,9,2,dyyab6el,9-stage_1-9,Mitarbeiter,ddddd,1575456517.712954
mn4el9rx,10,1,j12qqdhk,10-stage_1-10,Mitarbeiter,dddd,1575457093.0181189
mn4el9rx,10,2,oegdm6ji,10-stage_1-10,Mitarbeiter,sssss,1575457096.707006
7cmgn64x,12,1,0pu3n8kr,12-stage_1-12,Mitarbeiter,dddd,1575459709.318923
7cmgn64x,12,2,uad0kar3,12-stage_1-12,Mitarbeiter,sssss,1575459712.069707
xmv8li6e,13,1,yi1aib8w,13-stage_1-13,Mitarbeiter,dddd,1575459979.012453
xmv8li6e,13,2,1850zu3x,13-stage_1-13,Mitarbeiter,sssss,1575459981.6315022
3jxx7s9w,14,1,xhr6av25,14-stage_1-14,Mitarbeiter,dddd,1575463158.976744
3jxx7s9w,14,2,qb0cy8k4,14-stage_1-14,Mitarbeiter,aaaaa,1575463162.0914822
1nhoxdzg,15,1,l2g0mile,15-stage_1-15,Mitarbeiter,dddd,1575467851.876544
1nhoxdzg,15,2,29me3vu8,15-stage_1-15,Mitarbeiter,ss,1575467855.173643
2spmoxn3,16,1,lu0askwh,16-stage_1-16,Mitarbeiter,dddd,1575467952.438684
2spmoxn3,16,2,0ca1lx1c,16-stage_1-16,Mitarbeiter,ffff,1575467955.241539
zwwfv5jn,17,1,owcp2ty9,17-stage_1-17,Mitarbeiter,ssss,1575468205.584078
zwwfv5jn,17,2,aja9febf,17-stage_1-17,Mitarbeiter,dddd,1575468208.4642649
bpgk8u5o,18,1,e14j1quz,18-stage_1-18,Mitarbeiter,aaaa,1575468647.512655
bpgk8u5o,18,2,h0dpqc44,18-stage_1-18,Mitarbeiter,ssss,1575468650.842156
ujuq3v56,19,1,9ptbrr45,19-stage_1-19,Mitarbeiter,dddd,1575472526.513772
ujuq3v56,19,2,q0w08b3h,19-stage_1-19,Mitarbeiter,ssss,1575472529.272595
nb43z3i6,20,1,umsgp3t5,20-stage_1-20,Mitarbeiter,sssss,1575473143.7830348
nb43z3i6,20,2,q6vnet1v,20-stage_1-20,Mitarbeiter,ddddd,1575473146.6638021
06oi2hj8,21,1,g4xs1ovd,21-stage_1-21,Mitarbeiter,dddd,1575473576.500272
06oi2hj8,21,2,8mmo0q04,21-stage_1-21,Mitarbeiter,ssss,1575473579.3787572
st0yzp4h,22,1,f3ofyji8,22-stage_1-22,Mitarbeiter,sss,1575473758.924552
st0yzp4h,22,2,dkikxawb,22-stage_1-22,Mitarbeiter,ddd,1575473762.212116
rwupsb2l,23,1,5kykbays,23-stage_1-23,Mitarbeiter,ddddd,1575474367.81559
rwupsb2l,23,2,0t3oyhrd,23-stage_1-23,Mitarbeiter,ssss,1575474371.1129842
picwzzes,24,1,ngv2h5oj,24-stage_1-24,Mitarbeiter,ssss,1575474459.667656
picwzzes,24,2,9pmsfyi2,24-stage_1-24,Mitarbeiter,dddd,1575474463.242458
vuexlgyp,26,1,1atd6vc8,26-stage_1-26,Mitarbeiter,fghjfhgjf,1575475151.7070951
vuexlgyp,26,2,cvg53nsx,26-stage_1-26,Mitarbeiter,sfdgsgfdsgfd,1575475157.066477
vuexlgyp,26,3,2zzj3t2e,26-stage_1-27,Mitarbeiter,trzurtzurtz,1575475160.7600682
vuexlgyp,26,4,yd8ycc66,26-stage_1-27,Mitarbeiter,dfghdfghdgf,1575475167.766836
qd3o7y6p,38,1,8uzpy4yx,38-stage_1-53,Mitarbeiter,asdfasdfa,1575477540.9651918
qd3o7y6p,38,2,sa1x0q8a,38-stage_1-53,Mitarbeiter,asdasdf,1575477544.78843
qd3o7y6p,38,3,utwkso3l,38-stage_1-54,Mitarbeiter,adsfads,1575477548.2811909
qd3o7y6p,38,4,nzooh933,38-stage_1-54,Mitarbeiter,asdfasdf,1575477552.6472
qd3o7y6p,38,5,0l53tr75,38-stage_1-55,Mitarbeiter,asdfasdf,1575477556.1271648
qd3o7y6p,38,6,c1ggqvzt,38-stage_1-55,Mitarbeiter,adsfasdf,1575477559.2921011
k3zwj055,40,1,24rvi8qe,40-stage_1-59,Mitarbeiter,dfghdfgh,1575478972.853678
k3zwj055,40,2,u29tkcf6,40-stage_1-59,Mitarbeiter,dfghdfgh,1575478977.376458
k3zwj055,40,3,0104rdy0,40-stage_1-60,Mitarbeiter,dfghdgfhd,1575478987.826854
k3zwj055,40,4,68ta70or,40-stage_1-60,Mitarbeiter,fhgfjhgfj,1575478994.4929888
k3zwj055,40,5,z5agnpnr,40-stage_1-61,Mitarbeiter,dfghdgfh,1575479011.556866
k3zwj055,40,6,3a2396nn,40-stage_1-61,Mitarbeiter,zuiztuiuzti,1575479015.341293
k3zwj055,40,7,labf133i,40-stage_1-62,Mitarbeiter,dfghdgfh,1575479030.186481
k3zwj055,40,8,v4ix3h2j,40-stage_1-62,Mitarbeiter,dgfhdfghdgfh,1575479034.55524
k3zwj055,40,9,hi9cziwq,40-stage_1-63,Mitarbeiter,hkjlkjhl,1575479050.34582
k3zwj055,40,10,23euu63e,40-stage_1-63,Mitarbeiter,"bnm,mnb,",1575479054.536696
k3zwj055,40,11,m1dz4vn0,40-stage_1-64,Mitarbeiter,bvnmnbvm,1575479066.519418
k3zwj055,40,12,xhdjy621,40-stage_1-64,Mitarbeiter, kjljkhlkjhl,1575479072.068703
k3zwj055,40,13,g89c7s1t,40-stage_1-65,Mitarbeiter,ghjkghjk,1575479082.226688
k3zwj055,40,14,8zualm76,40-stage_1-65,Mitarbeiter,jhkljhkl,1575479086.232453
89y4yo5n,42,1,3t9lq6s0,42-stage_1-69,Mitarbeiter,dgfhdgfh,1575536265.480223
89y4yo5n,42,2,ik8xar2u,42-stage_1-69,Mitarbeiter,fgjfghjfghjfh,1575536271.134134
0bltwkca,43,1,nei1yv0i,43-stage_1-70,Mitarbeiter,dddd,1575536416.160599
0bltwkca,43,2,jtf1awkt,43-stage_1-70,Mitarbeiter,ssss,1575536421.006207
dmhbg8j2,45,1,e6dr9e8p,45-stage_1-72,Mitarbeiter,ssss,1575536718.551018
dmhbg8j2,45,2,moy2n0pj,45-stage_1-72,Mitarbeiter,dddd,1575536721.80719
6otdxidk,47,1,wvporh94,47-stage_1-74,Mitarbeiter,ggggg,1575537086.835243
6otdxidk,47,2,fy27rdt6,47-stage_1-74,Mitarbeiter,bbbb,1575537091.129021
8djinnhj,48,1,jpnpwszj,48-stage_1-77,Mitarbeiter,ddd,1575537412.2328792
8djinnhj,48,2,gf7ehjyd,48-stage_1-77,Mitarbeiter,sss,1575537415.745127
8djinnhj,48,3,fnasjjiu,48-stage_1-78,Mitarbeiter,222,1575537429.599194
8djinnhj,48,4,kgdelpjp,48-stage_1-78,Mitarbeiter,ddd,1575537433.591115
